iter	Logloss
0	0.6825266219
1	0.671494525
2	0.6629966829
3	0.6533541351
4	0.6451293446
5	0.6375365127
6	0.6294062039
7	0.6220804754
8	0.6150032052
9	0.610223201
10	0.6032007104
11	0.5971778694
12	0.592988139
13	0.5878720191
14	0.5834780858
15	0.5769086791
16	0.5716445958
17	0.5659404326
18	0.5605363623
19	0.5570259456
20	0.5535555714
21	0.5494108797
22	0.5462989283
23	0.5432726818
24	0.5401030191
25	0.5363306641
26	0.5334842341
27	0.5312559111
28	0.5276780591
29	0.5251001752
30	0.5217280123
31	0.5184295029
32	0.5158044232
33	0.5130750375
34	0.5105657868
35	0.5086102094
36	0.5070867525
37	0.5049670617
38	0.5030790384
39	0.5012756257
40	0.4991474279
41	0.496498188
42	0.4947612155
43	0.493071378
44	0.4908340757
45	0.4895567188
46	0.4876332366
47	0.4857145858
48	0.4833469988
49	0.481799491
50	0.4799746243
51	0.4789421176
52	0.4774124041
53	0.4753814329
54	0.4739083398
55	0.4727756265
56	0.4711640619
57	0.4701562351
58	0.4685501583
59	0.4675019178
60	0.4659753071
61	0.4647557181
62	0.4635861974
63	0.4626896345
64	0.4615277243
65	0.4603398928
66	0.4594402472
67	0.458237239
68	0.4575400048
69	0.4565464727
70	0.4549790891
71	0.4540043908
72	0.4527767575
73	0.4514804077
74	0.4503759793
75	0.4492901406
76	0.4482988994
77	0.447537946
78	0.4465346888
79	0.4458425814
80	0.4451649126
81	0.4445198637
82	0.4437512783
83	0.4430671409
84	0.4421845839
85	0.4413039655
86	0.4407557198
87	0.4401805041
88	0.439364013
89	0.4386570186
90	0.4379715304
91	0.4370621723
92	0.4360738302
93	0.435362333
94	0.4345156171
95	0.4339690368
96	0.4332624266
97	0.4324644277
98	0.432019576
99	0.4311548625
100	0.4305143336
101	0.4299780373
102	0.4293059031
103	0.4286968841
104	0.4280686632
105	0.4271247111
106	0.4263059296
107	0.4258804995
108	0.4253084829
109	0.4246510634
110	0.4241221716
111	0.423490681
112	0.4229310039
113	0.4222787709
114	0.4215472233
115	0.4211438523
116	0.4205531749
117	0.4199884008
118	0.4193799424
119	0.4188081901
120	0.4183821496
121	0.4180363343
122	0.4174846677
123	0.4171115176
124	0.4165778169
125	0.415981646
126	0.4155894044
127	0.4151164958
128	0.4147563362
129	0.4144311037
130	0.4138051939
131	0.413497385
132	0.4131714643
133	0.4128437589
134	0.4124820795
135	0.4122165394
136	0.4118025202
137	0.4113904589
138	0.4105571332
139	0.4101290326
140	0.4095497715
141	0.4091623526
142	0.4087821475
143	0.4083606102
144	0.4080351331
145	0.4076070267
146	0.4071420114
147	0.4066450227
148	0.4061947752
149	0.4058896108
150	0.4054705063
151	0.4051982704
152	0.4048776712
153	0.4044672662
154	0.4041781145
155	0.4038462271
156	0.4033294321
157	0.4030040017
158	0.4023248827
159	0.4020588863
160	0.401727064
161	0.4014865726
162	0.4012445645
163	0.4008528067
164	0.4003905009
165	0.3998794584
166	0.3994208847
167	0.3991059726
168	0.3988519232
169	0.398449974
170	0.3982208926
171	0.3979270387
172	0.3976656065
173	0.3974011157
174	0.3971532784
175	0.39677364
176	0.3964890946
177	0.3962986904
178	0.3961133896
179	0.395668253
180	0.3952596159
181	0.3949298267
182	0.3946627973
183	0.3943668503
184	0.3941104512
185	0.393806228
186	0.3935352087
187	0.3932207706
188	0.392654698
189	0.3924149188
190	0.3921796635
191	0.3917656646
192	0.3914216539
193	0.3911559972
194	0.3908302056
195	0.390464415
196	0.3902733162
197	0.390061334
198	0.3898442032
199	0.3895742063
200	0.3893492554
201	0.3890728132
202	0.3888480053
203	0.3885629234
204	0.3882742105
205	0.3878974262
206	0.3876812852
207	0.3873659427
208	0.3870571609
209	0.3867741689
210	0.3865779956
211	0.3863699775
212	0.3861031505
213	0.3858516176
214	0.3854248737
215	0.3851915657
216	0.3848634983
217	0.3845018744
218	0.3842996114
219	0.3839858052
220	0.3835955355
221	0.3834485876
222	0.3832011593
223	0.3828821483
224	0.3825449138
225	0.3823015701
226	0.3819915005
227	0.3817586548
228	0.3815684154
229	0.3813734588
230	0.3809161499
231	0.3807596092
232	0.3805449558
233	0.3803212887
234	0.3801284408
235	0.3798683725
236	0.3797674044
237	0.3795399619
238	0.3790702996
239	0.3787393359
240	0.3784301027
241	0.3782414803
242	0.3781073398
243	0.3779112359
244	0.3776610059
245	0.3774636456
246	0.3771125388
247	0.3769303436
248	0.3767337648
249	0.3764941786
250	0.376233546
251	0.3759370229
252	0.3757859132
253	0.3755185292
254	0.3751849108
255	0.3749693705
256	0.3748389076
257	0.3745769436
258	0.3743804234
259	0.3742234086
260	0.3739417064
261	0.373748505
262	0.3733577102
263	0.3731507119
264	0.3730237424
265	0.3728801501
266	0.3727810288
267	0.372576461
268	0.3723990574
269	0.3722068382
270	0.3719741132
271	0.3718554743
272	0.3715241052
273	0.3713538901
274	0.3710063092
275	0.3707471291
276	0.3706140466
277	0.3704188217
278	0.3702782108
279	0.370033678
280	0.3698515865
281	0.3697482769
282	0.3696084435
283	0.3694379729
284	0.3691997561
285	0.3689587088
286	0.3688118441
287	0.3686400009
288	0.368362132
289	0.3681519748
290	0.3680580432
291	0.3677262388
292	0.3675006097
293	0.3672442217
294	0.3670147869
295	0.3666997074
296	0.3664371133
297	0.3663239406
298	0.3661805688
299	0.3659828289
300	0.365823667
301	0.3652994821
302	0.3651272014
303	0.3650320563
304	0.3648313723
305	0.3646418756
306	0.364476956
307	0.3642701564
308	0.3640074751
309	0.3638744912
310	0.3637001663
311	0.3635721704
312	0.3634443926
313	0.3632502191
314	0.3629311901
315	0.3627380806
316	0.3625705988
317	0.362461273
318	0.3623431109
319	0.3621635703
320	0.3620615917
321	0.361921055
322	0.3617172297
323	0.3615611314
324	0.3613513732
325	0.3611841999
326	0.3611121277
327	0.3609738263
328	0.3608555709
329	0.3606625644
330	0.360243882
331	0.3601098206
332	0.3599911356
333	0.3597498343
334	0.3595579751
335	0.3593574823
336	0.3591238126
337	0.3590020305
338	0.3588572249
339	0.3587136979
340	0.358491169
341	0.3583697088
342	0.3582704768
343	0.358158101
344	0.3580326518
345	0.3579009991
346	0.3577558837
347	0.3575818408
348	0.3574553845
349	0.3573398175
350	0.357208073
351	0.3569174704
352	0.3567284007
353	0.3565049497
354	0.3562589826
355	0.3558963995
356	0.355763636
357	0.3555836997
358	0.355423336
359	0.3551778718
360	0.3550524699
361	0.3548609255
362	0.3546368285
363	0.3544294159
364	0.3542254026
365	0.3540878513
366	0.3539150713
367	0.3537470819
368	0.3535668198
369	0.3534151776
370	0.3531760431
371	0.3530879178
372	0.352860126
373	0.3526766782
374	0.3524800335
375	0.3522557041
376	0.3521600933
377	0.3520020368
378	0.3517817513
379	0.3516407137
380	0.3514492371
381	0.3512377083
382	0.3510865222
383	0.3509140345
384	0.350781226
385	0.3505824681
386	0.3504417423
387	0.3503031437
388	0.3500931133
389	0.3499330872
390	0.3497619742
391	0.3495820287
392	0.3494292653
393	0.3492003301
394	0.3490530802
395	0.3488728899
396	0.3487465565
397	0.3485783128
398	0.3484277306
399	0.3482933592
400	0.3481540213
401	0.3479499464
402	0.3477700137
403	0.3476491193
404	0.3475181808
405	0.347398998
406	0.3471993776
407	0.3469888568
408	0.3467450574
409	0.3466334022
410	0.346410234
411	0.3462939837
412	0.3461544923
413	0.3459406934
414	0.3458255131
415	0.345672758
416	0.3455379963
417	0.345441625
418	0.3452915097
419	0.3450612794
420	0.344883241
421	0.3447462026
422	0.3444976266
423	0.3443374631
424	0.3440821463
425	0.3439253553
426	0.3437539008
427	0.3435187435
428	0.343368846
429	0.3431359303
430	0.3429212781
431	0.3426992452
432	0.3425843041
433	0.3424071159
434	0.3423009845
435	0.342119224
436	0.3419781527
437	0.341851676
438	0.3416249511
439	0.3414571847
440	0.3412346513
441	0.3411060884
442	0.3409656325
443	0.3407116959
444	0.340579976
445	0.3404156226
446	0.3402471437
447	0.3401372934
448	0.3399968005
449	0.3398000171
450	0.339664301
451	0.3394849782
452	0.3393615311
453	0.339245869
454	0.3391013865
455	0.338908916
456	0.3386959499
457	0.3385799418
458	0.3384277315
459	0.3382438459
460	0.3381254436
461	0.337904028
462	0.3377537199
463	0.3375639836
464	0.3373764544
465	0.337214601
466	0.337095384
467	0.3368948223
468	0.3367613758
469	0.3364606374
470	0.3363347873
471	0.3360347286
472	0.3358829497
473	0.3357578174
474	0.335562265
475	0.3353611944
476	0.3351315639
477	0.3349462478
478	0.3347711861
479	0.3346160342
