iter	Passed	Remaining
0	3	3431
1	6	3410
2	9	3170
3	12	3020
4	15	3092
5	19	3169
6	22	3132
7	24	3044
8	27	3016
9	29	2920
10	31	2869
11	34	2840
12	36	2783
13	39	2753
14	41	2719
15	43	2675
16	46	2677
17	48	2649
18	51	2636
19	53	2624
20	55	2606
21	58	2586
22	60	2586
23	63	2567
24	65	2549
25	67	2542
26	70	2531
27	72	2521
28	75	2517
29	77	2503
30	79	2498
31	82	2490
32	84	2479
33	87	2474
34	89	2468
35	91	2457
36	94	2456
37	96	2447
38	98	2434
39	101	2429
40	103	2425
41	106	2418
42	108	2413
43	110	2403
44	113	2400
45	115	2396
46	117	2386
47	120	2385
48	122	2376
49	124	2369
50	127	2366
51	129	2360
52	131	2351
53	134	2354
54	136	2348
55	138	2342
56	141	2339
57	143	2332
58	145	2325
59	148	2324
60	150	2316
61	152	2307
62	154	2304
63	157	2297
64	159	2289
65	161	2287
66	163	2283
67	166	2281
68	168	2276
69	170	2269
70	173	2264
71	175	2259
72	177	2252
73	179	2250
74	182	2249
75	184	2245
76	187	2245
77	189	2240
78	191	2234
79	194	2231
80	196	2229
81	199	2228
82	202	2232
83	204	2232
84	207	2231
85	209	2229
86	211	2224
87	214	2224
88	216	2219
89	218	2214
90	221	2211
91	223	2206
92	225	2202
93	228	2201
94	230	2197
95	233	2194
96	235	2190
97	237	2186
98	239	2183
99	242	2180
100	244	2177
101	247	2175
102	249	2172
103	251	2168
104	254	2165
105	256	2163
106	258	2158
107	261	2157
108	263	2152
109	265	2149
110	268	2146
111	270	2143
112	272	2139
113	275	2137
114	277	2134
115	279	2132
116	282	2130
117	284	2126
118	286	2123
119	289	2124
120	291	2120
121	294	2117
122	296	2115
123	298	2111
124	301	2109
125	303	2105
126	305	2102
127	308	2100
128	310	2098
129	312	2094
130	315	2093
131	318	2091
132	320	2087
133	322	2085
134	324	2081
135	327	2077
136	329	2076
137	331	2073
138	333	2068
139	336	2066
140	338	2063
141	341	2061
142	343	2059
143	346	2057
144	348	2055
145	350	2052
146	353	2048
147	355	2046
148	357	2044
149	360	2040
150	362	2039
151	365	2036
152	367	2033
153	369	2031
154	372	2030
155	374	2026
156	377	2025
157	379	2021
158	381	2018
159	383	2015
160	386	2012
161	388	2010
162	391	2007
163	393	2004
164	395	2002
165	398	1999
166	400	1995
167	402	1992
168	404	1990
169	407	1987
170	409	1985
171	411	1983
172	414	1980
173	417	1979
174	419	1976
175	421	1973
176	424	1972
177	426	1969
178	428	1967
179	431	1964
180	433	1961
181	435	1959
182	438	1956
183	440	1953
184	443	1951
185	445	1948
186	447	1944
187	449	1943
188	452	1940
189	454	1936
190	456	1934
191	458	1931
192	461	1928
193	463	1927
194	465	1923
195	468	1920
196	470	1918
197	472	1915
198	475	1912
199	477	1910
200	479	1907
201	482	1904
202	484	1903
203	487	1901
204	489	1899
205	492	1896
206	494	1893
207	496	1891
208	499	1888
209	501	1885
210	503	1884
211	506	1881
212	508	1878
213	510	1876
214	513	1873
215	515	1870
216	518	1869
217	520	1866
218	522	1863
219	525	1861
220	527	1859
221	530	1858
222	532	1855
223	534	1852
224	537	1850
225	539	1846
226	541	1843
227	543	1840
228	545	1837
229	547	1833
230	550	1831
231	552	1828
232	554	1824
233	556	1821
234	558	1818
235	560	1815
236	562	1811
237	565	1810
238	567	1808
239	570	1806
240	572	1804
241	575	1801
242	577	1800
243	580	1797
244	582	1796
245	585	1794
246	587	1791
247	589	1788
248	592	1785
249	594	1782
250	596	1779
251	598	1777
252	600	1774
253	603	1771
254	605	1770
255	609	1772
256	613	1774
257	617	1775
258	619	1772
259	622	1771
260	625	1771
261	627	1768
262	630	1766
263	632	1763
264	634	1759
265	636	1757
266	639	1754
267	641	1750
268	643	1747
269	645	1745
270	647	1742
271	649	1738
272	651	1736
273	654	1732
274	656	1729
275	658	1727
276	660	1723
277	662	1721
278	665	1718
279	667	1717
280	670	1714
281	672	1712
282	674	1708
283	676	1706
284	679	1703
285	681	1700
286	683	1697
287	685	1695
288	687	1692
289	689	1688
290	692	1686
291	694	1683
292	696	1680
293	699	1678
294	701	1675
295	703	1672
296	705	1670
297	707	1667
298	709	1664
299	712	1662
300	714	1659
301	716	1656
302	719	1654
303	721	1651
304	723	1648
305	725	1645
306	727	1642
307	729	1639
308	731	1636
309	734	1634
310	736	1630
311	738	1628
312	740	1625
313	743	1623
314	745	1621
315	747	1618
316	749	1615
317	752	1613
318	754	1610
319	756	1607
320	758	1604
321	760	1601
322	762	1598
323	765	1596
324	767	1593
325	769	1590
326	771	1587
327	773	1584
328	775	1582
329	778	1579
330	780	1577
331	782	1574
332	785	1572
333	787	1570
334	789	1567
335	791	1564
336	793	1561
337	795	1559
338	797	1555
339	800	1553
340	802	1550
341	804	1548
342	807	1545
343	809	1543
344	811	1540
345	813	1537
346	815	1535
347	817	1532
348	820	1529
349	822	1527
350	824	1524
351	827	1522
352	829	1520
353	831	1517
354	833	1514
355	835	1512
356	837	1509
357	840	1506
358	842	1503
359	844	1501
360	846	1498
361	848	1495
362	851	1493
363	853	1491
364	855	1488
365	857	1485
366	860	1483
367	862	1481
368	864	1478
369	867	1476
370	869	1473
371	871	1470
372	873	1468
373	875	1466
374	878	1463
375	880	1461
376	882	1458
377	884	1455
378	887	1453
379	889	1451
380	891	1448
381	894	1446
382	896	1444
383	898	1441
384	901	1439
385	904	1438
386	907	1437
387	910	1436
388	913	1434
389	915	1432
390	917	1429
391	919	1426
392	922	1424
393	924	1421
394	926	1419
395	929	1417
396	931	1414
397	933	1412
398	936	1409
399	938	1407
400	940	1405
401	943	1402
402	945	1400
403	947	1397
404	949	1395
405	951	1392
406	954	1390
407	956	1388
408	958	1385
409	961	1383
410	963	1381
411	965	1378
412	968	1376
413	970	1373
414	972	1371
415	975	1369
416	977	1367
417	979	1364
418	982	1361
419	984	1359
420	986	1357
421	989	1354
422	991	1352
423	993	1349
424	996	1347
425	998	1345
426	1000	1342
427	1003	1340
428	1005	1337
429	1007	1335
430	1009	1333
431	1012	1330
432	1014	1328
433	1016	1326
434	1019	1323
435	1021	1321
436	1023	1319
437	1026	1316
438	1028	1314
439	1030	1311
440	1033	1309
441	1035	1307
442	1038	1305
443	1040	1303
444	1043	1300
445	1045	1298
446	1047	1295
447	1049	1293
448	1052	1291
449	1054	1289
450	1056	1286
451	1059	1283
452	1061	1281
453	1063	1279
454	1066	1276
455	1068	1275
456	1071	1272
457	1073	1270
458	1075	1267
459	1077	1265
460	1080	1262
461	1082	1261
462	1085	1258
463	1087	1255
464	1089	1253
465	1091	1251
466	1094	1248
467	1096	1246
468	1098	1244
469	1101	1241
470	1103	1239
471	1105	1237
472	1108	1234
473	1110	1232
474	1113	1230
475	1115	1228
476	1117	1225
477	1120	1223
478	1122	1221
479	1124	1218
480	1126	1215
481	1129	1213
482	1131	1211
483	1134	1209
484	1136	1206
485	1138	1204
486	1140	1201
487	1143	1199
488	1145	1197
489	1147	1194
490	1150	1192
491	1152	1189
492	1154	1186
493	1156	1184
494	1158	1182
495	1160	1179
496	1163	1177
497	1165	1175
498	1168	1172
499	1170	1170
500	1172	1168
501	1175	1165
502	1177	1163
503	1179	1160
504	1181	1158
505	1184	1156
506	1186	1153
507	1189	1151
508	1191	1149
509	1193	1146
510	1196	1144
511	1198	1142
512	1200	1140
513	1203	1137
514	1205	1135
515	1207	1132
516	1210	1130
517	1212	1128
518	1215	1126
519	1217	1123
520	1219	1121
521	1221	1118
522	1224	1116
523	1226	1113
524	1228	1111
525	1231	1109
526	1233	1106
527	1235	1104
528	1238	1102
529	1240	1099
530	1242	1097
531	1245	1095
532	1247	1093
533	1250	1091
534	1252	1088
535	1254	1086
536	1257	1084
537	1259	1081
538	1261	1079
539	1264	1076
540	1266	1074
541	1268	1071
542	1271	1069
543	1273	1067
544	1275	1064
545	1278	1062
546	1280	1060
547	1282	1057
548	1284	1055
549	1287	1053
550	1289	1050
551	1291	1048
552	1293	1045
553	1296	1043
554	1298	1041
555	1300	1038
556	1302	1036
557	1305	1034
558	1307	1031
559	1310	1029
560	1312	1027
561	1315	1025
562	1318	1023
563	1320	1020
564	1322	1018
565	1325	1016
566	1327	1013
567	1329	1011
568	1332	1009
569	1334	1006
570	1336	1004
571	1339	1002
572	1341	999
573	1343	997
574	1346	994
575	1348	992
576	1350	990
577	1353	987
578	1355	985
579	1357	983
580	1360	980
581	1362	978
582	1364	976
583	1367	973
584	1369	971
585	1372	969
586	1374	966
587	1376	964
588	1378	962
589	1381	959
590	1383	957
591	1385	955
592	1388	952
593	1390	950
594	1392	947
595	1394	945
596	1397	943
597	1399	940
598	1401	938
599	1403	935
600	1406	933
601	1408	931
602	1410	928
603	1413	926
604	1415	924
605	1417	921
606	1419	919
607	1422	916
608	1424	914
609	1426	912
610	1428	909
611	1431	907
612	1433	905
613	1435	902
614	1438	900
615	1440	898
616	1442	895
617	1445	893
618	1447	891
619	1449	888
620	1452	886
621	1454	883
622	1456	881
623	1459	879
624	1461	877
625	1464	874
626	1466	872
627	1468	869
628	1470	867
629	1473	865
630	1475	862
631	1477	860
632	1480	858
633	1482	855
634	1484	853
635	1487	851
636	1489	848
637	1491	846
638	1494	844
639	1496	841
640	1498	839
641	1500	836
642	1502	834
643	1505	832
644	1507	829
645	1509	827
646	1512	825
647	1514	822
648	1516	820
649	1518	817
650	1521	815
651	1523	813
652	1525	810
653	1527	808
654	1529	805
655	1532	803
656	1535	801
657	1537	799
658	1540	796
659	1542	794
660	1544	792
661	1547	789
662	1549	787
663	1551	785
664	1554	782
665	1556	780
666	1558	778
667	1561	775
668	1563	773
669	1565	771
670	1567	768
671	1569	766
672	1572	763
673	1574	761
674	1576	759
675	1578	756
676	1581	754
677	1583	751
678	1585	749
679	1587	747
680	1589	744
681	1591	742
682	1594	739
683	1596	737
684	1598	735
685	1600	732
686	1603	730
687	1605	728
688	1607	725
689	1609	723
690	1611	720
691	1614	718
692	1616	715
693	1618	713
694	1620	711
695	1622	708
696	1624	706
697	1627	704
698	1629	701
699	1631	699
700	1633	696
701	1636	694
702	1638	692
703	1640	689
704	1642	687
705	1644	685
706	1647	682
707	1649	680
708	1651	677
709	1654	675
710	1656	673
711	1658	670
712	1661	668
713	1663	666
714	1665	663
715	1667	661
716	1669	659
717	1671	656
718	1674	654
719	1676	651
720	1678	649
721	1680	647
722	1682	644
723	1684	642
724	1687	640
725	1689	637
726	1691	635
727	1693	632
728	1696	630
729	1698	628
730	1700	625
731	1702	623
732	1704	621
733	1707	618
734	1709	616
735	1711	614
736	1714	611
737	1716	609
738	1718	606
739	1720	604
740	1722	602
741	1725	599
742	1727	597
743	1729	595
744	1731	592
745	1734	590
746	1736	588
747	1738	585
748	1740	583
749	1742	580
750	1744	578
751	1747	576
752	1749	573
753	1751	571
754	1753	569
755	1756	566
756	1758	564
757	1760	561
758	1762	559
759	1764	557
760	1766	554
761	1768	552
762	1770	550
763	1773	547
764	1775	545
765	1777	543
766	1779	540
767	1782	538
768	1784	535
769	1786	533
770	1788	531
771	1790	528
772	1793	526
773	1795	524
774	1797	521
775	1800	519
776	1802	517
777	1804	514
778	1806	512
779	1809	510
780	1811	507
781	1813	505
782	1815	503
783	1817	500
784	1820	498
785	1822	496
786	1824	493
787	1826	491
788	1829	489
789	1831	486
790	1833	484
791	1835	482
792	1837	479
793	1839	477
794	1842	475
795	1844	472
796	1846	470
797	1849	468
798	1851	465
799	1853	463
800	1855	461
801	1858	458
802	1860	456
803	1862	454
804	1864	451
805	1866	449
806	1869	447
807	1871	444
808	1873	442
809	1875	439
810	1877	437
811	1879	435
812	1882	432
813	1884	430
814	1886	428
815	1888	425
816	1891	423
817	1893	421
818	1895	418
819	1897	416
820	1899	414
821	1902	411
822	1904	409
823	1906	407
824	1909	404
825	1911	402
826	1913	400
827	1916	398
828	1918	395
829	1920	393
830	1923	391
831	1925	388
832	1927	386
833	1930	384
834	1932	381
835	1934	379
836	1937	377
837	1939	374
838	1941	372
839	1944	370
840	1946	368
841	1949	365
842	1951	363
843	1953	361
844	1955	358
845	1958	356
846	1960	354
847	1962	351
848	1965	349
849	1967	347
850	1969	344
851	1972	342
852	1974	340
