PassengerId,HomePlanet,CryoSleep,Deck,Num,Side,Destination,Age,VIP,RoomService,FoodCourt,ShoppingMall,FirstName,LastName,Spa,VRDeck
0013_01,1,1,7,3,2,3,27.0,0,0.0,0.0,0.0,1365,1838,0.0,0.0
0018_01,1,0,6,4,2,3,19.0,0,0.0,9.0,0.0,1458,197,2823.0,0.0
0019_01,3,1,3,0,2,1,31.0,0,0.0,0.0,0.0,1586,751,0.0,0.0
0021_01,3,0,3,1,2,3,38.0,0,0.0,6652.0,0.0,1061,2019,181.0,585.0
0023_01,1,0,6,5,2,3,20.0,0,10.0,0.0,635.0,1207,1109,0.0,0.0
0027_01,1,0,6,7,1,3,31.0,0,0.0,1615.0,263.0,2594,1065,113.0,60.0
0029_01,3,1,2,2,1,1,21.0,0,0.0,-1.0,0.0,1777,1409,0.0,0.0
0032_01,3,1,4,0,2,3,20.0,0,0.0,0.0,0.0,2618,2382,0.0,0.0
0032_02,3,1,4,0,2,1,23.0,0,0.0,0.0,0.0,510,2382,0.0,0.0
0033_01,1,0,6,7,2,1,24.0,0,0.0,639.0,0.0,1169,1331,0.0,0.0
0037_01,1,0,6,9,2,3,19.0,0,339.0,3.0,136.0,2666,2271,237.0,0.0
0040_01,3,0,4,2,1,3,45.0,0,932.0,74.0,-1.0,152,894,7.0,1010.0
0040_02,3,0,4,2,1,3,44.0,0,0.0,1561.0,0.0,552,894,14.0,224.0
0042_01,2,1,5,0,1,3,46.0,0,0.0,0.0,0.0,1986,669,0.0,0.0
0046_01,1,0,7,4,1,3,21.0,0,0.0,0.0,0.0,161,89,1687.0,92.0
0046_02,1,0,6,11,1,3,27.0,0,0.0,0.0,0.0,1105,89,903.0,-1.0
0046_03,1,0,6,11,1,3,20.0,0,2.0,12.0,253.0,2103,89,457.0,690.0
0047_01,3,1,2,0,2,3,44.0,0,0.0,0.0,0.0,1899,1138,0.0,0.0
0047_02,3,0,0,0,0,3,29.0,0,0.0,7708.0,243.0,483,1138,569.0,343.0
0047_03,3,0,2,0,2,3,40.0,0,26.0,1925.0,8.0,1915,1560,3144.0,63.0
0048_01,1,0,7,5,2,3,30.0,0,0.0,878.0,26.0,2786,1050,3.0,0.0
0049_01,1,0,5,1,1,3,14.0,0,-1.0,0.0,0.0,1656,733,1609.0,0.0
0054_01,3,1,2,4,1,1,31.0,0,0.0,0.0,0.0,2755,530,0.0,0.0
0054_02,3,0,2,4,1,1,27.0,0,0.0,6977.0,0.0,2597,530,4.0,1235.0
0054_03,3,0,2,4,1,1,66.0,0,39.0,6452.0,0.0,2612,530,1409.0,155.0
0055_01,1,0,7,5,1,3,24.0,0,1784.0,8.0,18.0,1207,1860,18.0,0.0
0057_01,3,0,3,1,1,1,19.0,0,293.0,3495.0,5273.0,2842,64,118.0,422.0
0059_01,1,1,5,2,1,3,36.0,0,0.0,0.0,0.0,64,2245,0.0,0.0
0060_01,1,0,6,12,1,3,21.0,0,0.0,619.0,12.0,109,671,3.0,0.0
0063_01,1,1,7,8,2,1,18.0,0,0.0,0.0,0.0,1442,794,0.0,0.0
0065_01,1,1,7,9,2,3,26.0,0,0.0,0.0,0.0,85,601,0.0,0.0
0075_01,1,0,7,11,2,3,19.0,0,598.0,0.0,30.0,1547,94,0.0,0.0
0079_01,1,1,7,12,2,3,48.0,0,0.0,0.0,0.0,813,1101,0.0,0.0
0080_01,1,0,7,7,1,3,23.0,0,14.0,870.0,0.0,1178,229,0.0,23.0
0083_01,1,0,7,8,1,3,24.0,0,483.0,0.0,87.0,124,15,214.0,0.0
0087_01,1,0,5,3,1,3,19.0,0,0.0,20.0,135.0,2879,1393,265.0,367.0
0089_01,2,1,6,19,2,3,24.0,0,0.0,0.0,0.0,1683,1733,0.0,0.0
0093_01,1,0,7,10,1,3,27.0,0,66.0,1736.0,0.0,2621,407,0.0,15.0
0094_01,1,1,7,17,2,3,6.0,0,-1.0,0.0,0.0,2635,1136,0.0,0.0
0094_02,1,0,6,21,2,3,33.0,0,0.0,0.0,0.0,734,1136,866.0,0.0
0095_01,1,0,6,18,1,2,23.0,0,0.0,0.0,1235.0,1895,1012,0.0,0.0
0096_01,1,0,6,22,2,2,30.0,0,1.0,0.0,1585.0,1799,1235,0.0,484.0
0100_01,1,0,7,13,1,3,-1.0,-1,0.0,17.0,997.0,153,959,0.0,0.0
0100_02,1,0,7,13,1,3,1.0,0,0.0,0.0,0.0,1567,959,0.0,0.0
0104_01,1,0,6,25,2,3,20.0,0,1.0,0.0,0.0,2417,2250,599.0,0.0
0106_01,1,1,6,26,2,3,17.0,0,0.0,0.0,0.0,204,1948,0.0,0.0
0109_01,1,0,6,22,1,3,34.0,0,0.0,0.0,39.0,1769,2374,1.0,556.0
0117_01,1,0,5,4,1,2,24.0,0,0.0,22.0,82.0,2263,2092,0.0,686.0
0118_01,1,0,7,14,1,3,29.0,0,14.0,869.0,-1.0,2637,1323,1.0,0.0
0121_01,1,0,6,26,1,3,20.0,0,1037.0,1.0,2.0,2383,1424,0.0,1576.0
0124_01,1,1,7,15,1,1,5.0,0,0.0,0.0,0.0,500,1919,0.0,0.0
0125_01,3,1,2,6,1,1,22.0,0,0.0,0.0,0.0,250,1596,0.0,0.0
0125_02,3,0,2,6,1,3,16.0,0,3966.0,2872.0,0.0,2714,1596,0.0,2458.0
0130_01,1,1,7,16,1,1,7.0,0,0.0,0.0,0.0,1092,1705,0.0,0.0
0131_01,1,0,6,28,2,1,36.0,0,0.0,0.0,571.0,425,605,36.0,0.0
0132_01,2,0,4,4,2,1,26.0,0,46.0,315.0,2305.0,123,1819,0.0,97.0
0135_01,1,0,6,28,1,3,40.0,0,413.0,514.0,1.0,1561,2124,0.0,0.0
0137_01,1,1,7,24,2,3,29.0,0,0.0,0.0,0.0,533,580,0.0,0.0
0142_01,2,1,6,30,2,3,2.0,0,0.0,0.0,0.0,612,283,0.0,0.0
0142_02,2,0,6,30,2,3,23.0,0,378.0,402.0,0.0,1813,283,0.0,509.0
0142_03,2,0,6,30,2,3,0.0,0,0.0,0.0,0.0,2402,283,0.0,0.0
0143_01,3,0,3,2,1,1,30.0,0,0.0,8853.0,6108.0,2401,2139,29.0,3523.0
0145_01,1,0,5,6,1,3,56.0,0,0.0,44.0,23.0,2564,1291,723.0,0.0
0150_01,3,1,2,7,1,3,36.0,0,0.0,0.0,0.0,209,1684,0.0,0.0
0150_02,3,1,2,7,1,3,56.0,0,0.0,0.0,0.0,59,1684,0.0,0.0
0153_01,1,0,6,32,2,3,19.0,0,32.0,0.0,521.0,1178,199,0.0,223.0
0154_01,1,1,7,21,1,2,39.0,0,0.0,0.0,0.0,783,1267,0.0,0.0
0155_01,2,0,6,33,1,3,38.0,0,2.0,26.0,148.0,2144,1448,1213.0,0.0
0156_01,2,-1,6,34,1,3,-1.0,0,0.0,0.0,0.0,567,595,0.0,0.0
0157_01,3,0,1,1,1,3,35.0,0,0.0,463.0,0.0,2884,224,1502.0,585.0
0158_01,1,0,5,9,2,1,26.0,0,832.0,0.0,0.0,2001,1831,21.0,136.0
0158_02,1,0,6,33,2,3,31.0,0,0.0,0.0,705.0,839,1831,0.0,0.0
0159_01,1,0,6,34,2,3,38.0,0,0.0,3.0,0.0,799,1795,756.0,0.0
0161_01,1,0,6,35,1,1,27.0,0,-1.0,11.0,0.0,407,11,0.0,1172.0
0162_01,2,1,6,36,1,1,30.0,0,0.0,0.0,0.0,668,1734,0.0,0.0
0166_01,1,0,7,29,2,3,22.0,0,0.0,772.0,0.0,1331,795,0.0,0.0
0168_01,3,1,3,7,2,3,29.0,0,0.0,0.0,0.0,1922,1881,0.0,0.0
0175_01,1,1,7,25,1,3,0.0,0,0.0,0.0,0.0,1682,792,0.0,0.0
0175_02,1,-1,7,25,1,1,8.0,0,0.0,0.0,0.0,2168,792,0.0,0.0
0175_03,1,1,7,25,1,3,3.0,0,0.0,0.0,0.0,919,792,0.0,0.0
0175_04,1,1,7,25,1,3,27.0,0,0.0,0.0,0.0,360,792,0.0,0.0
0175_05,1,0,7,25,1,3,9.0,0,0.0,0.0,0.0,2268,792,0.0,0.0
0176_01,1,0,6,39,1,2,29.0,0,362.0,15.0,0.0,597,1507,0.0,450.0
0180_01,1,0,6,40,1,3,18.0,0,756.0,116.0,0.0,2191,2116,1.0,58.0
0184_01,2,0,5,7,1,3,22.0,0,197.0,0.0,1175.0,1835,2182,0.0,0.0
0185_01,2,0,6,37,2,3,24.0,0,6.0,11.0,1404.0,444,360,0.0,0.0
0187_01,2,1,6,38,2,1,25.0,0,0.0,0.0,0.0,2224,1800,0.0,0.0
0191_01,1,0,6,39,2,3,36.0,0,261.0,0.0,206.0,401,599,465.0,0.0
0194_01,3,1,3,4,1,3,14.0,0,0.0,0.0,0.0,2573,521,0.0,0.0
0194_02,3,1,3,4,1,1,24.0,0,0.0,0.0,0.0,2439,521,0.0,0.0
0194_03,3,0,3,4,1,1,26.0,1,0.0,275.0,0.0,1251,521,4572.0,163.0
0204_01,1,0,6,43,1,2,29.0,0,1669.0,2.0,242.0,945,42,155.0,0.0
0208_01,1,-1,7,33,1,3,40.0,0,44.0,0.0,565.0,1567,290,0.0,18.0
0209_01,3,0,2,10,1,3,36.0,-1,33.0,-1.0,0.0,577,2269,12767.0,1193.0
0214_01,3,0,5,12,2,3,46.0,0,717.0,516.0,4.0,661,1772,2.0,2439.0
0214_02,3,0,5,12,2,3,42.0,0,4762.0,20.0,0.0,233,1772,4.0,41.0
0215_01,1,1,7,34,1,3,23.0,0,0.0,0.0,0.0,641,2056,0.0,0.0
0218_01,1,0,7,35,1,3,19.0,0,741.0,12.0,1.0,1710,2275,0.0,0.0
0226_01,3,0,4,7,2,1,25.0,0,3.0,3833.0,8098.0,2054,173,1531.0,0.0
0227_01,1,-1,0,0,0,3,22.0,0,0.0,0.0,0.0,755,2101,0.0,0.0
0228_01,3,1,2,4,2,3,35.0,0,0.0,0.0,0.0,512,1599,0.0,0.0
0228_02,3,0,2,4,2,1,39.0,-1,0.0,25273.0,0.0,498,1460,13.0,1714.0
0228_03,3,1,2,4,2,1,42.0,0,0.0,0.0,0.0,769,1599,0.0,0.0
0228_04,3,0,2,4,2,3,35.0,0,0.0,1442.0,0.0,2778,1599,1813.0,6439.0
0230_01,1,1,6,49,1,2,29.0,0,0.0,0.0,0.0,2483,1183,0.0,0.0
0230_02,1,0,6,49,1,3,20.0,0,786.0,0.0,0.0,1881,1183,0.0,-1.0
0235_01,1,1,7,40,1,3,25.0,0,0.0,0.0,0.0,356,1362,0.0,0.0
0236_01,2,1,6,51,1,3,36.0,0,0.0,0.0,0.0,2278,1200,0.0,0.0
0238_01,2,0,4,7,1,3,39.0,0,2556.0,0.0,22.0,1269,1662,0.0,0.0
0247_01,3,1,4,9,1,1,23.0,0,0.0,0.0,0.0,1857,822,0.0,0.0
0247_02,3,1,4,9,1,1,19.0,0,0.0,0.0,0.0,2585,822,0.0,0.0
0249_01,1,0,7,41,1,3,50.0,0,0.0,0.0,78.0,633,956,751.0,78.0
0256_01,1,0,6,48,2,2,41.0,0,0.0,0.0,728.0,2814,538,0.0,0.0
0259_01,2,0,6,55,1,1,19.0,0,1.0,0.0,2839.0,227,734,85.0,0.0
0262_01,1,0,7,39,2,3,20.0,0,186.0,0.0,0.0,1915,1560,602.0,100.0
0264_01,3,1,2,5,2,1,19.0,0,0.0,0.0,0.0,2697,830,0.0,0.0
0264_02,3,1,2,5,2,3,38.0,0,0.0,0.0,0.0,1055,830,0.0,0.0
0264_03,3,0,2,5,2,1,32.0,0,1340.0,-1.0,0.0,2209,830,8517.0,1256.0
0266_01,2,0,5,12,1,3,44.0,0,696.0,0.0,462.0,921,1519,46.0,94.0
0266_02,2,0,6,57,1,3,18.0,0,1542.0,0.0,138.0,413,1519,0.0,0.0
0268_01,2,0,6,58,1,3,49.0,0,108.0,0.0,41.0,2574,160,1560.0,0.0
0268_02,2,0,5,13,1,1,23.0,0,3186.0,0.0,0.0,468,160,2.0,0.0
0271_01,1,0,7,44,1,3,31.0,0,41.0,334.0,1.0,302,1380,62.0,484.0
0272_01,2,0,4,10,1,3,55.0,0,1054.0,0.0,2.0,991,403,0.0,1.0
0273_01,2,0,6,60,1,3,60.0,0,60.0,0.0,7022.0,1098,2094,0.0,0.0
0273_02,2,1,6,60,1,3,20.0,0,0.0,0.0,0.0,106,2094,0.0,0.0
0273_03,2,0,5,14,1,3,34.0,0,301.0,0.0,79.0,2008,2094,919.0,0.0
0274_01,2,0,5,17,2,0,14.0,0,123.0,0.0,0.0,9,981,1936.0,22.0
0274_02,2,1,5,17,2,3,26.0,0,0.0,-1.0,0.0,305,981,0.0,-1.0
0276_01,3,0,2,6,2,1,19.0,0,0.0,86.0,0.0,563,457,368.0,4055.0
0276_02,3,1,2,6,2,3,25.0,0,0.0,0.0,0.0,498,457,0.0,0.0
0279_01,1,0,6,62,1,1,42.0,0,98.0,10.0,0.0,2557,836,613.0,0.0
0280_01,1,0,6,53,2,3,18.0,0,212.0,678.0,12.0,71,1437,0.0,0.0
0284_01,2,0,5,15,1,3,50.0,0,0.0,0.0,1299.0,1453,1180,0.0,0.0
0292_01,1,0,6,56,2,3,26.0,0,0.0,-1.0,0.0,120,759,1079.0,281.0
0293_01,3,1,0,0,0,3,47.0,0,0.0,0.0,0.0,2677,209,0.0,0.0
0295_01,1,0,6,66,1,2,35.0,0,-1.0,627.0,0.0,1787,2021,44.0,0.0
0296_01,2,0,6,57,2,1,58.0,0,73.0,0.0,422.0,1503,1761,978.0,0.0
0299_01,1,0,6,58,2,1,20.0,0,376.0,0.0,242.0,2717,1398,1.0,0.0
0300_01,3,0,4,11,1,3,28.0,0,5.0,11549.0,132.0,1398,1222,4966.0,524.0
0308_01,1,1,7,48,1,2,12.0,0,-1.0,0.0,0.0,1915,1560,0.0,0.0
0311_01,1,0,5,17,1,1,20.0,0,-1.0,0.0,0.0,2571,1738,10.0,0.0
0312_01,1,1,7,49,1,3,22.0,0,0.0,0.0,0.0,900,2066,0.0,0.0
0317_01,1,0,7,43,2,3,31.0,0,0.0,34.0,81.0,1620,1956,0.0,608.0
0318_01,1,1,7,52,1,2,24.0,0,0.0,0.0,0.0,2654,1820,0.0,0.0
0319_01,2,0,5,18,1,3,17.0,0,1031.0,0.0,1026.0,721,1702,42.0,0.0
0319_02,2,1,6,69,1,1,-1.0,0,0.0,0.0,0.0,938,1702,0.0,0.0
0323_01,1,1,0,0,0,1,18.0,0,0.0,0.0,0.0,1337,172,0.0,0.0
0325_01,1,0,7,54,1,3,48.0,-1,-1.0,755.0,0.0,196,122,0.0,0.0
0328_01,1,0,6,71,1,3,38.0,0,3.0,1252.0,1.0,813,1720,0.0,0.0
0329_01,3,1,2,14,1,1,33.0,-1,0.0,0.0,0.0,1430,1063,0.0,0.0
