PassengerId,HomePlanet,CryoSleep,Deck,Num,Side,Destination,Age,VIP,RoomService,FoodCourt,ShoppingMall,FirstName,LastName,Spa,VRDeck,Transported
0001_01,3,0,2,0,1,3,39.0,0,0.0,0.0,0.0,41,1222,0.0,0.0,0
0002_01,1,0,6,0,2,3,24.0,0,109.0,9.0,25.0,2341,1225,549.0,44.0,1
0003_01,3,0,1,0,2,3,58.0,1,43.0,3576.0,0.0,805,675,6715.0,49.0,0
0003_02,3,0,1,0,2,3,33.0,0,0.0,1283.0,371.0,2660,675,3329.0,193.0,0
0004_01,1,0,6,1,2,3,16.0,0,303.0,70.0,151.0,1798,1136,565.0,2.0,1
0005_01,1,0,6,0,1,2,44.0,0,0.0,483.0,0.0,1514,1780,291.0,0.0,1
0006_01,1,0,6,2,2,3,26.0,0,42.0,1539.0,3.0,2435,851,0.0,0.0,1
0006_02,1,1,7,0,2,3,28.0,0,0.0,0.0,0.0,465,851,0.0,-1.0,1
0007_01,1,0,6,3,2,3,35.0,0,0.0,785.0,17.0,596,902,216.0,0.0,1
0008_01,3,1,2,1,1,1,14.0,0,0.0,0.0,0.0,121,1510,0.0,0.0,1
0008_02,3,1,2,1,1,3,34.0,0,0.0,0.0,-1.0,1188,1510,0.0,0.0,1
0008_03,3,0,2,1,1,1,45.0,0,39.0,7295.0,589.0,1504,1510,110.0,124.0,1
0009_01,2,0,6,1,1,3,32.0,0,73.0,0.0,1123.0,556,1274,0.0,113.0,1
0010_01,1,0,7,1,2,3,48.0,0,719.0,1.0,65.0,2345,150,0.0,24.0,0
0011_01,1,0,6,2,1,3,28.0,0,8.0,974.0,12.0,2495,663,2.0,7.0,1
0012_01,1,0,0,0,0,3,31.0,0,32.0,0.0,876.0,918,2009,0.0,0.0,0
0014_01,2,0,6,3,1,1,27.0,0,1286.0,122.0,-1.0,937,620,0.0,0.0,0
0015_01,1,0,6,4,1,1,24.0,0,0.0,1.0,0.0,948,1868,0.0,637.0,0
0016_01,2,1,6,5,1,3,45.0,0,0.0,0.0,0.0,2405,595,0.0,0.0,1
0017_01,1,0,7,0,1,3,0.0,0,0.0,0.0,0.0,1629,544,0.0,0.0,1
0017_02,1,0,6,6,1,1,14.0,0,412.0,0.0,1.0,1620,544,0.0,679.0,0
0020_01,1,1,5,0,2,3,1.0,0,0.0,0.0,0.0,237,2260,0.0,0.0,0
0020_02,1,1,5,0,2,1,49.0,0,0.0,0.0,0.0,692,2260,0.0,0.0,0
0020_03,1,1,5,0,2,1,29.0,0,0.0,0.0,-1.0,1664,1345,0.0,0.0,0
0020_04,1,0,5,0,2,3,10.0,0,0.0,0.0,0.0,133,1982,0.0,0.0,1
0020_05,1,1,5,0,2,2,1.0,0,-1.0,0.0,0.0,1567,2260,0.0,0.0,0
0020_06,1,0,5,0,2,3,7.0,0,0.0,0.0,0.0,734,1345,0.0,0.0,0
0022_01,2,0,4,0,1,3,21.0,0,980.0,2.0,69.0,1915,1560,0.0,0.0,0
0024_01,3,1,3,2,2,3,62.0,0,0.0,0.0,-1.0,2016,2062,0.0,0.0,1
